ts,ts_iso,kind,mint,amount_sol,percent,user_id,chat_id
1755955156,2025-08-23 13:19:16,buy,So11111111111111111111111111111111111111112,0.05,,1653046781,-1002782542798
1755955156,2025-08-23 13:19:16,sell,So11111111111111111111111111111111111111112,,5.0,1653046781,-1002782542798
